67299ba101063176805e7e86,independent,Returns the rotational inertia of the body about the local origin.
67299ba101063176805e7e87,independent,Sets the y-coordinate of this circle.
67299ba101063176805e7e88,independent,Get the default currency time limit for this assembler.
67299ba101063176805e7e89,independent,Wraps this bucket collector into a regular collector.
67299ba101063176805e7e8a,independent,"Set the default value for HTML escaping , to be put into the current PageContext . This can be overridden by page - specific attributes ."
67299ba101063176805e7e8b,independent,Returns the configured DataSource.
67299ba101063176805e7e8c,independent,Set the types to use the attribute for instead of the element value .
67299ba101063176805e7e8d,independent,Returns the reader idle time in milliseconds by converting the reader idle time in nanoseconds to milliseconds using TimeUnit.
67299ba101063176805e7e8e,independent,Creates a new builder for an executable hint with the specified method name and parameter types.
67299ba101063176805e7e8f,independent,Creates a new double field with the given name.
67299ba101063176805e7e90,independent,"Creates a new enum setting with the given key, fallback setting, validator, and properties."
67299ba101063176805e7e91,independent,Set the MessageCodesResolver to use for this DataBinder . Default is the one configured on the DataBinderFactory .
67299ba101063176805e7e92,independent,Set the root object and its type descriptor for this evaluation context.
67299ba101063176805e7e93,independent,Creates a new Name object with the given name.
67299ba101063176805e7e94,independent,"Returns the first element of this list, or null if the list is empty."
67299ba101063176805e7e95,independent,Set the number of digits after the decimal separator.
67299ba101063176805e7e96,independent,Create a physical operation from a source operator factory and layout.
67299ba101063176805e7e97,independent,Creates the directories for the extracted content.
67299ba101063176805e7e98,independent,Serializes the enrichment to the given channel .
67299ba101063176805e7e99,independent,Returns the job manager instance.
67299ba101063176805e7e9a,independent,Set the port to which the relay will connect.
67299ba101063176805e7e9b,independent,Returns a builder for the given object class.
67299ba101063176805e7e9c,independent,"Sets the cell to grow in both directions, filling the available space."
67299ba101063176805e7e9d,independent,Adds an initialized type to the frame.
67299ba101063176805e7e9e,independent,Executes a shard operation on a specific shard routing.
67299ba101063176805e7e9f,independent,Creates a new PhraseSuggestionBuilder for the given fieldname.
67299ba101063176805e7ea0,independent,Handles the given server request and returns a result.
67299ba101063176805e7ea1,independent,Returns the number of bytes per value for the given term .
67299ba101063176805e7ea2,independent,Returns the join field for the child document with the given parent type.
67299ba101063176805e7ea3,independent,Returns the first item in the array. Throws IllegalStateException if the array is empty.
67299ba101063176805e7ea4,independent,Sets the indices to be closed.
67299ba101063176805e7ea5,independent,Checks if the given flags are set in this ClassWriter's flags field.
67299ba101063176805e7ea6,independent,Set the application directory for the build request .
67299ba101063176805e7ea7,independent,Resolves the request by updating the cluster state.
67299ba101063176805e7ea8,independent,Set the name of the default theme to use if no theme cookie found .
